drug_name,smiles,catalog,product_name,source
Dacinostat,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,S1095,Dacinostat (LAQ824),pubchem
Mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,S8146,Mitomycin C,pubchem
BI-847325,CCNC(=O)C#CC1=CC2=C(C=C1)C(=C(N2)O)C(=NC3=CC=C(C=C3)CN(C)C)C4=CC=CC=C4,S7843,BI-847325,pubchem
SGI-1027,CC1=CC(=NC(=N1)N)NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)NC4=CC=NC5=CC=CC=C54,S7276,SGI-1027,pubchem
Bisindolylmaleimide IX,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,S7207,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),pubchem
TAK-901,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=C(N3)N=CC(=C4)C)C)C(=O)NC5CCN(CC5)C,S2718,TAK-901,pubchem
Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,S1047,"Vorinostat (SAHA, MK0683)",gdsc
Scriptaid,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,S8043,Scriptaid ,pubchem
CAY10603,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO,S7596,CAY10603,pubchem
Hesperadin,CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=C2C(=NC3=CC=C(C=C3)CN4CCCCC4)C5=CC=CC=C5)O,S1529,Hesperadin,pubchem
Fedratinib,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,S2736,"Fedratinib (SAR302503, TG101348)",pubchem
Mivebresib,CCS(=O)(=O)NC1=CC(=C(C=C1)OC2=C(C=C(C=C2)F)F)C3=CN(C(=O)C4=C3C=CN4)C,S8400,Mivebresib(ABBV-075),pubchem
Azacitidine,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,S1782,Azacitidine ,pubchem
4SC-202,CN1C=C(C=N1)C2=CC=C(C=C2)S(=O)(=O)N3C=CC(=C3)/C=C/C(=O)NC4=CC=CC=C4N,S7555,4SC-202,pubchem
Cytarabine,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,S1648,Cytarabine,gdsc
GSK1324726A,C[C@H]1C[C@H](C2=C(N1C(=O)C)C=CC(=C2)C3=CC=C(C=C3)C(=O)O)NC4=CC=C(C=C4)Cl,S7620,GSK1324726A (I-BET726),pubchem
AZD5153,C[C@@H]1C(=O)N(CCN1CCOC2=CC=C(C=C2)C3CCN(CC3)C4=NN5C(=NN=C5OC)C=C4)C,S8344,AZD5153,gdsc
JQ1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,S7110,(+)-JQ1,gdsc
OTX015,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C,S7360,OTX015,gdsc
ENMD-2076,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,S1181,ENMD-2076,pubchem
ENMD-2076 L--Tartaric acid,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,S2018,ENMD-2076 L-(+)-Tartaric acid ,pubchem
Gemcitabine,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,GEM,GEM,gdsc
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,5-FU,5-FU,gdsc
Paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,PTX,PTX,gdsc
Oxaliplatin,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],OXA,OXA,gdsc
Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,IRI,IRI,gdsc
